date,portfolio_value,spy_value,cash,n_positions,regime
2008-02-26,999850.0,1000000.0,899850.0,1,crisis
2008-02-27,1000351.915370548,998988.2789599373,899850.0,1,crisis
2008-02-28,999065.794703738,989231.3083998798,899850.0,1,crisis
2008-02-29,996665.2020480785,967187.7566506721,779177.5315905914,2,crisis
2008-03-03,997397.7483113777,964874.6903635381,779177.5315905914,2,crisis
2008-03-04,996656.6345373709,961188.3540727933,779177.5315905914,2,crisis
2008-03-05,995836.3224254295,967259.5273927437,779177.5315905914,2,crisis
2008-03-06,993679.2948062409,947239.1867019596,779177.5315905914,2,crisis
2008-03-07,992882.3503552268,937482.2931491361,779177.5315905914,2,crisis
2008-03-10,990529.9110131061,925123.2481528083,779177.5315905914,2,crisis
2008-03-11,994471.145219866,958370.0433234997,779177.5315905914,2,crisis
2008-03-12,993766.8083703333,949407.7104109083,779177.5315905914,2,crisis
2008-03-13,990562.9245717707,951503.2312620415,779177.5315905914,2,crisis
2008-03-14,988386.7402542281,936759.118214806,779177.5315905914,2,crisis
2008-03-17,988679.7545241598,927291.463832821,779177.5315905914,2,crisis
2008-03-18,993353.1532646843,965813.9475964233,779177.5315905914,2,crisis
2008-03-19,991914.1373278761,941891.0343018713,779177.5315905914,2,crisis
2008-03-20,996479.7174163964,959337.3311895547,779177.5315905914,2,crisis
2008-03-24,997281.37470656,978512.4404801463,779177.5315905914,2,crisis
2008-03-25,995866.9574734395,979456.9342049423,779177.5315905914,2,crisis
2008-03-26,994908.272918697,967472.2213730036,779177.5315905914,2,crisis
2008-03-27,993354.363742856,964422.0418421887,779177.5315905914,2,crisis
2008-03-28,993326.1566344142,955197.1142617166,779177.5315905914,2,crisis
2008-03-31,995128.6217918261,958538.7661731555,779177.5315905914,2,crisis
2008-04-01,1001562.2015273039,992240.443074982,779177.5315905914,2,crisis
2008-04-02,1000652.8638775746,992893.849455324,779177.5315905914,2,crisis
2008-04-03,999040.3481400106,995363.4714491445,779177.5315905914,2,crisis
2008-04-04,1002166.9769150086,994273.7420810574,779177.5315905914,2,crisis
2008-04-07,1002266.5290803195,994782.4518687461,779177.5315905914,2,crisis
2008-04-08,1001140.3640465921,993765.6483512404,779177.5315905914,2,crisis
2008-04-09,999139.9702606444,986574.8668564176,779177.5315905914,2,crisis
2008-04-10,998490.7366044911,987954.836489385,779177.5315905914,2,crisis
2008-04-11,995590.3710078949,968779.6501915593,779177.5315905914,2,crisis
2008-04-14,994666.8478589103,965511.3861741058,779177.5315905914,2,crisis
2008-04-15,996655.5750011723,967763.2317102236,779177.5315905914,2,crisis
2008-04-16,1001003.3132421859,993983.1167800073,779177.5315905914,2,crisis
2008-04-17,1001578.6892476872,995436.166278024,779177.5315905914,2,crisis
2008-04-18,1003200.5788568269,1005822.5939686549,779177.5315905914,2,crisis
2008-04-21,1000628.2876133396,1006330.9957274076,779177.5315905914,2,crisis
2008-04-22,997158.324217848,1001900.6925491574,779177.5315905914,2,crisis
2008-04-23,1000211.0853864899,1000302.7924440195,779177.5315905914,2,crisis
2008-04-24,1001835.3042309113,1004660.631815092,779177.5315905914,2,crisis
2008-04-25,1000979.9562658662,1013957.4071448698,779177.5315905914,2,crisis
2008-04-28,999988.5327126716,1014175.4916315083,779177.5315905914,2,crisis
2008-04-29,1002660.4639270178,1010180.5873541955,779177.5315905914,2,crisis
2008-04-30,1003652.9171134006,1004224.539849049,779177.5315905914,2,crisis
2008-05-01,1008415.4415683332,1024998.2423098844,779177.5315905914,2,crisis
2008-05-02,1008348.7531768798,1027830.4143612947,779177.5315905914,2,crisis
2008-05-05,1005756.454258463,1022891.4013953557,779177.5315905914,2,crisis
2008-05-06,1009150.2581707985,1031752.85483143,779177.5315905914,2,crisis
2008-05-07,1005123.6203791712,1013376.3105572375,779177.5315905914,2,crisis
2008-05-08,1006620.1153652004,1010761.7609490618,779177.5315905914,2,crisis
2008-05-09,1005079.1699907164,1008873.5435718097,779177.5315905914,2,crisis
2008-05-12,1006343.553636415,1020203.6949148966,779177.5315905914,2,crisis
2008-05-13,1006174.9571007779,1020349.3926015917,779177.5315905914,2,crisis
2008-05-14,1010703.0283583757,1022455.5404510144,779177.5315905914,2,crisis
2008-05-15,1013449.9731864649,1035238.8953065862,779177.5315905914,2,crisis
2008-05-16,1014347.6439219457,1036183.2350169143,779177.5315905914,2,crisis
2008-05-19,1016029.239597697,1039015.9461189625,779177.5315905914,2,crisis
2008-05-20,1014007.7791776444,1030590.4306344634,779177.5315905914,2,crisis
2008-05-21,1012435.0199426115,1013158.5340995349,779177.5315905914,2,crisis
2008-05-22,1013183.9217496499,1013303.8467500599,779177.5315905914,2,crisis
2008-05-23,1009157.3283011882,999721.0027912812,779177.5315905914,2,crisis
2008-05-27,1010924.5112419166,1007129.7147582747,779177.5315905914,2,crisis
2008-05-28,1010319.7985542885,1011778.2564376316,779177.5315905914,2,crisis
2008-05-29,1012457.2562730511,1016862.8900830315,779177.5315905914,2,crisis
2008-05-30,1010883.4671342672,1019405.1298984976,779177.5315905914,2,crisis
2008-06-02,1008369.7596588649,1008873.5435718097,779177.5315905914,2,crisis
2008-06-03,1008204.5325721498,1002989.8058593726,779177.5315905914,2,crisis
2008-06-04,1008141.7232151349,1002481.5581150878,779177.5315905914,2,crisis
2008-06-05,1008797.8895329381,1022528.081265426,779177.5315905914,2,crisis
2008-06-06,1001764.890220687,989915.9027099847,779177.5315905914,2,crisis
2008-06-09,1004488.2145690861,992312.8298749257,779177.5315905914,2,crisis
2008-06-10,1004222.6912722741,987374.0479306886,779177.5315905914,2,crisis
2008-06-11,998894.6029338067,972847.3263049858,779177.5315905914,2,crisis
2008-06-12,1000436.024955245,976551.4512667806,779177.5315905914,2,crisis
2008-06-13,1004852.7466360759,988899.0221852451,779177.5315905914,2,crisis
2008-06-16,1001478.7831418787,989480.1187728774,779177.5315905914,2,crisis
2008-06-17,1000809.2453605086,984686.2644429955,779177.5315905914,2,crisis
2008-06-18,998170.8396245716,975099.0178266356,779177.5315905914,2,crisis
2008-06-19,998391.6932782311,976333.4437873759,779177.5315905914,2,crisis
2008-06-20,994459.203212216,960486.2791205744,779177.5315905914,2,crisis
2008-06-23,992879.4129898226,959537.3189762073,779177.5315905914,2,crisis
2008-06-24,992482.657654075,957639.0136513034,779177.5315905914,2,crisis
2008-06-25,993793.1809805708,962165.4218575639,779177.5315905914,2,crisis
2008-06-26,989909.4729524248,936032.3239404786,779177.5315905914,2,crisis
2008-06-27,987853.9274265443,930922.5859368003,779177.5315905914,2,crisis
2008-06-30,987336.1068918925,934207.7145384961,779177.5315905914,2,crisis
2008-07-01,987235.571778268,937127.3668077106,779177.5315905914,2,bear
2008-07-02,987163.6503091956,921067.816189585,779177.5315905914,2,bear
2008-07-03,987835.3762427699,922017.31538459,779177.5315905914,2,bear
2008-07-07,987040.680910887,912600.2547553314,779177.5315905914,2,bear
2008-07-08,989356.1844617266,928805.426052918,779177.5315905914,2,bear
2008-07-09,986904.9178321598,910921.4200472778,779177.5315905914,2,bear
2008-07-10,985503.6264243571,914644.5657958663,779177.5315905914,2,bear
2008-07-11,983518.2313361673,903986.918627149,779177.5315905914,2,bear
2008-07-14,984663.150746027,895811.2916169232,779177.5315905914,2,bear
2008-07-15,985792.5415521987,883182.9523233583,779177.5315905914,2,bear
2008-07-16,992319.075190214,904862.7989064665,779177.5315905914,2,bear
2008-07-17,993861.0274045841,913914.2291887758,779177.5315905914,2,bear
2008-07-18,992666.4894117462,919608.1440694458,779177.5315905914,2,bear
2008-07-21,990494.8939362359,920118.7790379841,779177.5315905914,2,bear
2008-07-22,992430.8869650397,930557.6486549571,779177.5315905914,2,bear
2008-07-23,995017.4639732752,935594.6148225218,779177.5315905914,2,bear
2008-07-24,992079.7659055663,916177.163766587,779177.5315905914,2,bear
2008-07-25,991813.7247546193,915958.1551931407,779177.5315905914,2,bear
2008-07-28,994581.9018920662,902526.9384780737,779177.5315905914,2,bear
2008-07-29,998574.4795398777,921797.9217749736,779177.5315905914,2,bear
2008-07-30,1000685.689047531,938222.2556604745,779177.5315905914,2,bear
2008-07-31,999369.4163827628,925813.00194759,779177.5315905914,2,bear
2008-08-01,999569.4220227894,920922.1955101241,779177.5315905914,2,bear
2008-08-04,1000440.969689551,912381.4772035871,779177.5315905914,2,bear
2008-08-05,1004429.7412108986,936981.2070776117,779177.5315905914,2,bear
2008-08-06,1005154.5673700304,941142.292965859,779177.5315905914,2,bear
2008-08-07,1000819.2577183065,927126.8223665663,779177.5315905914,2,bear
2008-08-08,1010658.2494257704,944353.7256446334,779177.5315905914,2,bear
2008-08-11,1011636.208479167,954135.6465485011,779177.5315905914,2,bear
2008-08-12,1010006.54887208,944207.7199290025,779177.5315905914,2,bear
2008-08-13,1009696.9778667425,938514.4211062043,779177.5315905914,2,bear
2008-08-14,1010277.359913606,945595.0822564322,779177.5315905914,2,bear
2008-08-15,1011110.0701354245,950193.2612047644,779177.5315905914,2,bear
2008-08-18,1010331.8146630956,937200.3696655261,779177.5315905914,2,bear
2008-08-19,1008378.2779402632,926980.6626364674,779177.5315905914,2,bear
2008-08-20,1008263.7047347001,931287.7542403456,779177.5315905914,2,bear
2008-08-21,1008232.7926935969,932893.1240471799,779177.5315905914,2,bear
2008-08-22,1009482.647252711,946397.7286562322,779177.5315905914,2,bear
